id,label,comment
1,0,"пункт 3, опоры нет"
5,1,"П1, П2: оценка против факта"
6,0,"пункт 6, как пример 10, мотивы не додумываем"
14,0,"пункт 6, как пример 10, мотивы не додумываем"
18,1,П5: устойчивая ироническая формула
23,?,"пункт 4, фактов о реформе нет"
24,?,"пункт 4, двуликая реплика без ситуации"
25,1,"П4, пункт 6: ирония в слове эксперты"
29,?,"пункт 4, двуликая реплика без ситуации"
34,?,"пункт 4, двуликая реплика без ситуации"
38,0,Н2
43,0,"Н3, похвала условная, буквально верно"
44,?,"пункт 4, как пример 11"
46,0,"Н7, пункт 3"
47,1,"пункт 6 самоирония, П3"
49,0,"Н3, мем-жалоба"
50,0,"Н3, указание на уловку"
51,0,"пункт 3, стереотип не опора"
54,0,Н5
55,?,"пункт 4, двуликая реплика без ситуации"
63,?,"пункт 4, фактов нет"
64,0,Н6
68,?,"пункт 4, двуликая реплика без ситуации"
69,0,"пункт 3, Н7"
76,?,"пункт 4, стереотип о политиках не опора"
77,0,"Н5, поговорка без переворота"
82,1,П6
84,?,"пункт 4, как Ну ты и мастер"
89,1,П5
90,0,"Н4, пункт 6"
