id,label,comment
1,0,
2,1,
3,1,
4,0,
5,0,
6,1,
7,1,
8,1,
9,1,
10,0,
11,1,
12,1,
13,1,
14,1,
15,1,
16,0,
17,1,
18,1,
19,1,
20,1,
21,0,
22,1,
23,1,
24,0,
25,0,
26,1,
27,1,
28,1,
29,0,
30,0,
31,0,
32,1,
33,0,
34,1,
35,0,
36,1,
37,1,
38,1,
39,0,
40,1,
41,1,
42,0,
43,1,
44,1,
45,0,
46,0,
47,1,
48,0,
49,1,
50,1,
51,0,
52,0,
53,1,
54,0,
55,0,
56,1,
57,1,
58,1,
59,0,
60,0,
61,1,
62,1,
63,0,
64,0,
65,1,
66,0,
67,1,
68,0,
69,0,
70,0,
71,1,
72,1,
73,0,
74,1,
75,0,
76,1,
77,1,
78,1,
79,0,
80,0,
81,0,
82,1,
83,0,
84,1,
85,0,
86,1,
87,1,
88,0,
89,0,
90,1,
